pasta,wav,ingles
voice/penalties/cut_track_in_prac_or_qual,16-c.wav,"come on, keep it between the white lines, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,7-a.wav,"track limits, come on, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,7-b.wav,"track limits, come on, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,7-c.wav,"track limits, come on, this lap won't count"
voice/penalties/cut_track_in_prac_or_qual,2-a.wav,keep it between the white lines
voice/penalties/cut_track_in_prac_or_qual,2-b.wav,keep it between the white lines
voice/penalties/cut_track_in_prac_or_qual,2-c.wav,keep it between the white lines
voice/penalties/cut_track_in_prac_or_qual,23-a.wav,"come on, watch those track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,23-b.wav,"come on, watch those track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,23-c.wav,"come on, watch those track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,20-a.wav,"track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,20-b.wav,"track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,20-c.wav,"track limits, this lap will be deleted"
voice/penalties/cut_track_in_prac_or_qual,6-a.wav,"track limits, they'll invalidate this lap"
voice/penalties/cut_track_in_prac_or_qual,6-b.wav,"track limits, they'll invalidate this lap"
voice/penalties/cut_track_in_prac_or_qual,6-c.wav,"track limits, they'll invalidate this lap"
voice/penalties/car_to_car_collision,5-a.wav,be careful
voice/penalties/car_to_car_collision,5-b.wav,be careful
voice/penalties/car_to_car_collision,5-c.wav,be careful
voice/penalties/car_to_car_collision,1-a.wav,take care please
voice/penalties/car_to_car_collision,1-b.wav,take care please
voice/penalties/car_to_car_collision,1-c.wav,take care please
voice/penalties/car_to_car_collision,8-a.wav,be careful please
voice/penalties/car_to_car_collision,8-b.wav,be careful please
voice/penalties/car_to_car_collision,8-c.wav,be careful please
voice/penalties/car_to_car_collision,6-a.wav,"come on, wake up"
voice/penalties/car_to_car_collision,6-b.wav,"come on, wake up"
voice/penalties/car_to_car_collision,6-c.wav,"come on, wake up"
voice/penalties/car_to_car_collision,3-a.wav,be careful
voice/penalties/car_to_car_collision,3-b.wav,be careful
voice/penalties/car_to_car_collision,3-c.wav,be careful
voice/penalties/car_to_car_collision,2-a.wav,be careful
voice/penalties/car_to_car_collision,2-b.wav,be careful
voice/penalties/car_to_car_collision,2-c.wav,be careful
voice/penalties/car_to_car_collision,4-a.wav,"come on, be careful"
voice/penalties/car_to_car_collision,4-b.wav,"come on, be careful"
voice/penalties/car_to_car_collision,4-c.wav,"come on, be careful"
voice/penalties/car_to_car_collision,7-a.wav,"come on, wake up"
voice/penalties/car_to_car_collision,7-b.wav,"come on, wake up"
voice/penalties/car_to_car_collision,7-c.wav,"come on, wake up"
voice/penalties/cut_track_in_race,20-a.wav,"watch the track limits, we'll get a penalty if we don't"
voice/penalties/cut_track_in_race,20-b.wav,"watch the track limits, we'll get a penalty if we don't"
voice/penalties/cut_track_in_race,20-c.wav,"watch the track limits, we'll get a penalty if we don't"
voice/penalties/cut_track_in_race,16-a.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,16-b.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,16-c.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,22-a.wav,the stewards have warned us about track limits
voice/penalties/cut_track_in_race,22-b.wav,the stewards have warned us about track limits
voice/penalties/cut_track_in_race,22-c.wav,the stewards have warned us about track limits
voice/penalties/cut_track_in_race,1-a.wav,"the stewards have warned us for cutting the track, keep it between the white lines"
voice/penalties/cut_track_in_race,1-b.wav,"the stewards have warned us for cutting the track, keep it between the white lines"
voice/penalties/cut_track_in_race,1-c.wav,"the stewards have warned us for cutting the track, keep it between the white lines"
voice/penalties/cut_track_in_race,17-a.wav,"you've gone outside track limits, come on, keep it between the lines"
voice/penalties/cut_track_in_race,17-b.wav,"you've gone outside track limits, come on, keep it between the lines"
voice/penalties/cut_track_in_race,17-c.wav,"you've gone outside track limits, come on, keep it between the lines"
voice/penalties/cut_track_in_race,7-a.wav,"come on, track limits"
voice/penalties/cut_track_in_race,7-b.wav,"come on, track limits"
voice/penalties/cut_track_in_race,7-c.wav,"come on, track limits"
voice/penalties/cut_track_in_race,8-a.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,8-b.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,8-c.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,9-a.wav,"come on, track limits, keep it between the lines"
voice/penalties/cut_track_in_race,9-b.wav,"come on, track limits, keep it between the lines"
voice/penalties/cut_track_in_race,9-c.wav,"come on, track limits, keep it between the lines"
voice/penalties/cut_track_in_race,4-a.wav,watch those track limits
voice/penalties/cut_track_in_race,4-b.wav,watch those track limits
voice/penalties/cut_track_in_race,4-c.wav,watch those track limits
voice/penalties/cut_track_in_race,12_op_prefix_oh_dear-a.wav,"come on, track limits"
voice/penalties/cut_track_in_race,12_op_prefix_oh_dear-b.wav,"come on, track limits"
voice/penalties/cut_track_in_race,12_op_prefix_oh_dear-c.wav,"come on, track limits"
voice/penalties/cut_track_in_race,19-a.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,19-b.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,19-c.wav,we've been warned about track limits
voice/penalties/cut_track_in_race,18-a.wav,watch the track limits
voice/penalties/cut_track_in_race,18-b.wav,watch the track limits
voice/penalties/cut_track_in_race,18-c.wav,watch the track limits
voice/penalties/cut_track_in_race,11-a.wav,"the stewards have warned us about track limits, keep it between the lines"
voice/penalties/cut_track_in_race,11-b.wav,"the stewards have warned us about track limits, keep it between the lines"
voice/penalties/cut_track_in_race,11-c.wav,"the stewards have warned us about track limits, keep it between the lines"
voice/penalties/cut_track_in_race,14-a.wav,"keep it between the lines, track limits"
voice/penalties/cut_track_in_race,14-b.wav,"keep it between the lines, track limits"
voice/penalties/cut_track_in_race,14-c.wav,"keep it between the lines, track limits"
voice/penalties/cut_track_in_race,2-a.wav,keep it between the white lines or we'll get a penalty
voice/penalties/cut_track_in_race,2-b.wav,keep it between the white lines or we'll get a penalty
voice/penalties/cut_track_in_race,2-c.wav,keep it between the white lines or we'll get a penalty
voice/penalties/cut_track_in_race,15-a.wav,"watch those track limits, we don't want a penalty"
voice/penalties/cut_track_in_race,15-b.wav,"watch those track limits, we don't want a penalty"
voice/penalties/cut_track_in_race,15-c.wav,"watch those track limits, we don't want a penalty"
voice/penalties/cut_track_in_race,3-a.wav,we just had a warning for cutting the track
voice/penalties/cut_track_in_race,3-b.wav,we just had a warning for cutting the track
voice/penalties/cut_track_in_race,3-c.wav,we just had a warning for cutting the track
voice/penalties/cut_track_in_race,5-a.wav,"track limits, come on, keep it between the white lines"
voice/penalties/cut_track_in_race,5-b.wav,"track limits, come on, keep it between the white lines"
voice/penalties/cut_track_in_race,5-c.wav,"track limits, come on, keep it between the white lines"
voice/penalties/cut_track_in_race,13_op_prefix_oh_dear-a.wav,"track limits, come on"
voice/penalties/cut_track_in_race,13_op_prefix_oh_dear-b.wav,"track limits, come on"
voice/penalties/cut_track_in_race,13_op_prefix_oh_dear-c.wav,"track limits, come on"
voice/penalties/cut_track_in_race,10-a.wav,watch those track limits or we'll get a penalty
voice/penalties/cut_track_in_race,10-b.wav,watch those track limits or we'll get a penalty
voice/penalties/cut_track_in_race,10-c.wav,watch those track limits or we'll get a penalty
voice/penalties/cut_track_in_race,23-a.wav,watch those track limits
voice/penalties/cut_track_in_race,23-b.wav,watch those track limits
voice/penalties/cut_track_in_race,23-c.wav,watch those track limits
voice/penalties/cut_track_in_race,21-a.wav,keep it within the track limits
voice/penalties/cut_track_in_race,21-b.wav,keep it within the track limits
voice/penalties/cut_track_in_race,21-c.wav,keep it within the track limits
voice/penalties/cut_track_in_race,6_op_prefix_oh_dear-a.wav,"track limits, come on"
voice/penalties/cut_track_in_race,6_op_prefix_oh_dear-b.wav,"track limits, come on"
voice/penalties/cut_track_in_race,6_op_prefix_oh_dear-c.wav,"track limits, come on"
voice/penalties/meatball_flag,4-a.wav,"we'll need to pit for repairs, we've been called in by the stewards"
voice/penalties/meatball_flag,4-b.wav,"we'll need to pit for repairs, we've been called in by the stewards"
voice/penalties/meatball_flag,4-c.wav,"we'll need to pit for repairs, we've been called in by the stewards"
voice/penalties/meatball_flag,1-a.wav,we've been called into the pits for repairs
voice/penalties/meatball_flag,1-b.wav,we've been called into the pits for repairs
voice/penalties/meatball_flag,1-c.wav,we've been called into the pits for repairs
voice/penalties/meatball_flag,10-a.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,10-b.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,10-c.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,9-a.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,9-b.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,9-c.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,3-a.wav,we've been called into the pits by the stewards for repairs
voice/penalties/meatball_flag,3-b.wav,we've been called into the pits by the stewards for repairs
voice/penalties/meatball_flag,3-c.wav,we've been called into the pits by the stewards for repairs
voice/penalties/meatball_flag,7-a.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,7-b.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,7-c.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,6-a.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,6-b.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,6-c.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,8-a.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,8-b.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,8-c.wav,"meatball flag, we'll need to come into the pits for repairs"
voice/penalties/meatball_flag,2-a.wav,the stewards have called us into the pits for repairs
voice/penalties/meatball_flag,2-b.wav,the stewards have called us into the pits for repairs
voice/penalties/meatball_flag,2-c.wav,the stewards have called us into the pits for repairs
voice/penalties/drive_through_speeding_in_pit_lane,3-a.wav,we've just had a drive-through penalty for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,3-b.wav,we've just had a drive-through penalty for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,3-c.wav,we've just had a drive-through penalty for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,2-a.wav,we just had a drive-through for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,2-b.wav,we just had a drive-through for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,2-c.wav,we just had a drive-through for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,1-a.wav,we've just been given a drive-through for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,1-b.wav,we've just been given a drive-through for speeding in the pit lane
voice/penalties/drive_through_speeding_in_pit_lane,1-c.wav,we've just been given a drive-through for speeding in the pit lane
voice/penalties/drive_through_cutting_track,1-a.wav,we've just had a drive-through for cutting the track
voice/penalties/drive_through_cutting_track,1-b.wav,we've just had a drive-through for cutting the track
voice/penalties/drive_through_cutting_track,1-c.wav,we've just had a drive-through for cutting the track
voice/penalties/drive_through_cutting_track,3-a.wav,we've just had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,3-b.wav,we've just had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,3-c.wav,we've just had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,2-a.wav,we've just had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,2-b.wav,we've just had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,2-c.wav,we've just had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,4-a.wav,we've had a drive-through penalty for track limits violations
voice/penalties/drive_through_cutting_track,4-b.wav,we've had a drive-through penalty for track limits violations
voice/penalties/drive_through_cutting_track,4-c.wav,we've had a drive-through penalty for track limits violations
voice/penalties/drive_through_cutting_track,9-a.wav,we've had a drive-through for track limits violations
voice/penalties/drive_through_cutting_track,9-b.wav,we've had a drive-through for track limits violations
voice/penalties/drive_through_cutting_track,9-c.wav,we've had a drive-through for track limits violations
voice/penalties/drive_through_cutting_track,5-a.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,5-b.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,5-c.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,6-a.wav,we've had a drive-through for cutting the track
voice/penalties/drive_through_cutting_track,6-b.wav,we've had a drive-through for cutting the track
voice/penalties/drive_through_cutting_track,6-c.wav,we've had a drive-through for cutting the track
voice/penalties/drive_through_cutting_track,8-a.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,8-b.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,8-c.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,7-a.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,7-b.wav,we've had a drive-through penalty for cutting the track
voice/penalties/drive_through_cutting_track,7-c.wav,we've had a drive-through penalty for cutting the track
voice/penalties/you_dont_have_a_penalty,1-a.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,1-b.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,1-c.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,2-a.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,2-b.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,2-c.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,3-a.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,3-b.wav,you don't have a penalty
voice/penalties/you_dont_have_a_penalty,3-c.wav,you don't have a penalty
voice/penalties/cut_track_race_4,2_op_suffix_please-a.wav,start respecting the track limits
voice/penalties/cut_track_race_4,2_op_suffix_please-b.wav,start respecting the track limits
voice/penalties/cut_track_race_4,2_op_suffix_please-c.wav,start respecting the track limits
voice/penalties/cut_track_race_4,sweary_2-a.wav,"track limits, for fuck's sake, come on, track limits"
voice/penalties/cut_track_race_4,sweary_2-b.wav,"track limits, for fuck's sake, come on, track limits"
voice/penalties/cut_track_race_4,sweary_2-c.wav,"track limits, for fuck's sake, come on, track limits"
voice/penalties/cut_track_race_4,3_op_suffix_please-a.wav,pay some attention to the track limits
voice/penalties/cut_track_race_4,3_op_suffix_please-b.wav,pay some attention to the track limits
voice/penalties/cut_track_race_4,3_op_suffix_please-c.wav,pay some attention to the track limits
voice/penalties/cut_track_race_4,1-a.wav,can you even see the track? stop cutting
voice/penalties/cut_track_race_4,1-b.wav,can you even see the track? stop cutting
voice/penalties/cut_track_race_4,1-c.wav,can you even see the track? stop cutting
voice/penalties/cut_track_race_4,sweary_3-a.wav,"shit, I'm sick of saying this, track limits"
voice/penalties/cut_track_race_4,sweary_3-b.wav,"shit, I'm sick of saying this, track limits"
voice/penalties/cut_track_race_4,sweary_3-c.wav,"shit, I'm sick of saying this, track limits"
voice/penalties/cut_track_race_4,6_op_prefix_oh_dear-a.wav,"track limits, come on"
voice/penalties/cut_track_race_4,6_op_prefix_oh_dear-b.wav,"track limits, come on"
voice/penalties/cut_track_race_4,6_op_prefix_oh_dear-c.wav,"track limits, come on"
voice/penalties/cut_track_race_4,13_op_prefix_oh_dear-a.wav,"track limits, come on"
voice/penalties/cut_track_race_4,13_op_prefix_oh_dear-b.wav,"track limits, come on"
voice/penalties/cut_track_race_4,13_op_prefix_oh_dear-c.wav,"track limits, come on"
voice/penalties/cut_track_race_4,sweary_4-a.wav,"come on, track limits, they're there for a reason, stop taking the piss"
voice/penalties/cut_track_race_4,sweary_4-b.wav,"come on, track limits, they're there for a reason, stop taking the piss"
voice/penalties/cut_track_race_4,sweary_4-c.wav,"come on, track limits, they're there for a reason, stop taking the piss"
voice/penalties/cut_track_race_4,1_op_prefix_oh_dear-a.wav,are you even trying to keep it on the track
voice/penalties/cut_track_race_4,1_op_prefix_oh_dear-b.wav,are you even trying to keep it on the track
voice/penalties/cut_track_race_4,1_op_prefix_oh_dear-c.wav,are you even trying to keep it on the track
voice/penalties/cut_track_race_4,3-a.wav,"track limits again, come on"
voice/penalties/cut_track_race_4,3-b.wav,"track limits again, come on"
voice/penalties/cut_track_race_4,3-c.wav,"track limits again, come on"
voice/penalties/cut_track_race_4,4-a.wav,"that's another cut, come on, pay attention"
voice/penalties/cut_track_race_4,4-b.wav,"that's another cut, come on, pay attention"
voice/penalties/cut_track_race_4,4-c.wav,"that's another cut, come on, pay attention"
voice/penalties/cut_track_race_4,sweary_1-a.wav,track fucking limits
voice/penalties/cut_track_race_4,sweary_1-b.wav,track fucking limits
voice/penalties/cut_track_race_4,sweary_1-c.wav,track fucking limits
voice/penalties/disqualified_ignored_drive_through,1-a.wav,we've just been disqualified for ignoring the drive-through
voice/penalties/disqualified_ignored_drive_through,1-b.wav,we've just been disqualified for ignoring the drive-through
voice/penalties/disqualified_ignored_drive_through,1-c.wav,we've just been disqualified for ignoring the drive-through
voice/penalties/disqualified_ignored_drive_through,4-a.wav,we've just been disqualified for ignoring a drive-through penalty
voice/penalties/disqualified_ignored_drive_through,4-b.wav,we've just been disqualified for ignoring a drive-through penalty
voice/penalties/disqualified_ignored_drive_through,4-c.wav,we've just been disqualified for ignoring a drive-through penalty
voice/penalties/disqualified_ignored_drive_through,2-a.wav,"you've ignored your drive-through penalty, they've just disqualified you"
voice/penalties/disqualified_ignored_drive_through,2-b.wav,"you've ignored your drive-through penalty, they've just disqualified you"
voice/penalties/disqualified_ignored_drive_through,2-c.wav,"you've ignored your drive-through penalty, they've just disqualified you"
voice/penalties/disqualified_ignored_drive_through,5-a.wav,"they've just disqualified us, we've ignored a drive-through penalty"
voice/penalties/disqualified_ignored_drive_through,5-b.wav,"they've just disqualified us, we've ignored a drive-through penalty"
voice/penalties/disqualified_ignored_drive_through,5-c.wav,"they've just disqualified us, we've ignored a drive-through penalty"
voice/penalties/disqualified_ignored_drive_through,3-a.wav,"okay, mate, we've been disqualified for ignoring a drive-through"
voice/penalties/disqualified_ignored_drive_through,3-b.wav,"okay, mate, we've been disqualified for ignoring a drive-through"
voice/penalties/disqualified_ignored_drive_through,3-c.wav,"okay, mate, we've been disqualified for ignoring a drive-through"
voice/penalties/stop_go_penalty_false_start,2-a.wav,we've had a stop-go penalty for a false start
voice/penalties/stop_go_penalty_false_start,2-b.wav,we've had a stop-go penalty for a false start
voice/penalties/stop_go_penalty_false_start,2-c.wav,we've had a stop-go penalty for a false start
voice/penalties/stop_go_penalty_false_start,1-a.wav,we've just had a stop-go penalty for jumping the start
voice/penalties/stop_go_penalty_false_start,1-b.wav,we've just had a stop-go penalty for jumping the start
voice/penalties/stop_go_penalty_false_start,1-c.wav,we've just had a stop-go penalty for jumping the start
voice/penalties/stop_go_penalty_false_start,3-a.wav,we've got a stop-go penalty for jumping the start
