ingles,traducao_pt
"you've ignored your drive-through penalty, they've just disqualified you","Você ignorou o drive-through, acabaram de te desclassificar"
"they've just disqualified us, we've ignored a drive-through penalty","Desclassificação confirmada, a gente não cumpriu o drive-through"
"okay, mate, we've been disqualified for ignoring a drive-through","Ok, parceiro, fomos desclassificados por ignorar o drive-through"
we've had a stop-go penalty for a false start,Levamos uma penalidade de stop-go por queima de largada
we've just had a stop-go penalty for jumping the start,Acabamos de tomar um stop-go por largada antecipada
we've got a stop-go penalty for jumping the start,Temos uma penalidade de stop-go por pular a largada
you still haven't served this penalty,Você ainda não cumpriu essa penalidade
you still need to serve your penalty,Você ainda precisa servir sua penalidade
you've still got an outstanding penalty,Você ainda tá com uma penalidade pendente
you got 3 laps to serve this penalty,Você tem três voltas pra cumprir essa penalidade
you've got 3 laps to serve this penalty,Ainda restam três voltas pra cumprir a penalidade
you need to come in for this penalty in the next 3 laps,Tem que entrar nos boxes pra cumprir isso nas próximas três voltas
we've just had a slowdown penalty for cutting the track,Acabamos de levar uma penalidade de desaceleração por corte de pista
we've had a slowdown penalty for cutting the track,Recebemos uma penalidade de desaceleração por cortar a pista
we've just had a drive-through for overtaking under yellow,Acabamos de tomar um drive-through por ultrapassar sob bandeira amarela
we've just had a drive-through penalty for passing under yellow,Drive-through aplicado por passar sob bandeira amarela
we've just had a drive-through for passing under yellow,Levamos um drive-through por desrespeitar bandeira amarela
we've just had a stop-go penalty for speeding in the pit lane,Acabamos de receber uma penalidade de stop-go por excesso de velocidade no pit lane
we've got had a stop-go penalty for speeding in the pit lane,Temos uma penalidade de stop-go por velocidade acima do limite nos boxes
we've just had a stop-go penalty for overtaking on the formation lap,Tomamos uma penalidade de stop-go por ultrapassar na volta de formação
we've just had a stop-go penalty for passing on the formation lap,Penalidade de stop-go por ultrapassagem durante a volta de formação
mind these track limits,Fica atento aos limites da pista
"this lap won't count, you cut the track","Essa volta não valeu, você cortou a pista"
we need to watch these track limits,Precisamos ficar de olho nesses limites da pista
"they'll invalidate this lap, track limits","Essa volta vai ser invalidada, cuidado com os limites"
"track limits, keep it between the lines","Limite de pista, mantém dentro das linhas"
track limits,Limites de pista
"they'll delete this lap, track limits","Essa volta vai ser anulada, limite de pista"
you're outside of track limits there,Você passou dos limites da pista ali
we need to watch the track limits,Precisamos prestar atenção nos limites da pista
we still need to serve this stop-go penalty,Ainda temos que cumprir essa penalidade de stop-go
we've still got to serve our stop-go penalty,Ainda temos uma penalidade de stop-go pra cumprir
you've still got to serve your stop-go penalty,Você ainda precisa cumprir sua penalidade de stop-go
you still have to serve your stop-go penalty,Você ainda tem que cumprir essa penalidade de stop-go
"stop driving into people, they'll disqualify us if we do it again","Para de bater nos outros, mais uma dessas e a gente vai ser desclassificado"
"we'll be disqualified if we hit another car, calm down","Se batermos de novo, tamo fora, segura a onda aí"
"one more collision and we're out, stop with the banger racing","Mais uma batida e tamo fora, para com essa de demolição"
"come on, this ain't banger racing, one more collision and we'll be disqualified","Pô, isso aqui não é racha de demolição, mais uma colisão e tamo desclassificado"
"calm it down please, one more collision and we'll be out","Dá uma segurada, mais uma batida e a corrida acaba pra gente"
"you're one collision away from being disqualified, calm down","Cuidado, tá a uma colisão de ser desclassificado"
"come on, watch these track limits","Pô, presta atenção nesses limites de pista"
"watch the track limits, please","Fica atento aos limites da pista, por favor"
you gotta watch these track limits,Fica atento aos limites da pista
we just had a drive-through for overtaking on the formation lap,Levamos um drive-through por ultrapassar na volta de formação
we've just had a drive-through penalty for passing on the formation lap,Acabamos de receber uma penalidade de drive-through por ultrapassagem na volta de formação
we just had a drive-through for passing on the formation lap,Acabamos de levar um drive-through por ultrapassar durante a volta de formação
watch these track limits,Atenção a esses limites da pista
stay within the track limits,Fique dentro dos limites da pista
"you've gone out of track limits again, they'll delete this lap","Você passou dos limites de novo, essa volta vai ser anulada"
"they'll delete this lap, stay within the track limits","Eles vão excluir essa volta, mantém dentro dos limites da pista"
"that's another cut, track limits","Mais um corte, limite de pista"
"come on, track limits, that's another cut","Pô mano, limite de pista de novo, mais um corte aí!"
"track limits, they'll delete this lap","Limite de pista, essa volta vai ser anulada"
"that's another cut, this lap will be deleted","Mais um corte, essa volta tá anulada"
we've just been given a time penalty,Acabamos de levar uma penalidade de tempo
we've just been handed a time penalty,Penalidade de tempo recebida agora há pouco
"bollocks, we've just had a time penalty","Droga, levamos uma penalidade de tempo agora"
we've just had a time penalty,Acabamos de ser penalizados com tempo extra
penalty points will be awarded this lap,Pontos de penalidade vão ser aplicados nessa volta
"you've exceeded your allotted laps, you've been disqualified","Você passou do limite de voltas, foi desclassificado"
"we've done more laps than we're allowed here, we've been disqualified","Excedemos o número de voltas permitido aqui, estamos desclassificados"
"we've exceeded our allotted laps, we've been disqualified","Passamos do número de voltas, fomos desclassificados"
we've been disqualified for exceeding the maximum number of laps allowed,Fomos desclassificados por exceder o número máximo de voltas permitido
you've been disqualified for exceeding the number of qualification laps allowed,Você foi desclassificado por ultrapassar o limite de voltas de qualificação
"you keep cutting, come on, track limits","Você continua cortando pista, pô, presta atenção nisso!"
we've got to pay attention to the track limits,Temos que ficar ligados nos limites de pista
"this lap will be deleted, watch those track limits","Essa volta vai ser anulada, atenção aos limites"
"that's another deleted lap, track limits","Mais uma volta excluída, limite de pista"
"come on, track limits, you're starting to take the piss now","Limite de pista, pô, já tá abusando"
just watch these fucking track limits,"Dá atenção pra esses limites, tá demais!"
"ah shit, man, that's another lap deleted, track limits","Ah não, cara… mais uma volta anulada por limite de pista"
"come on, watch these fucking track limits","Vamos lá, atenção nesses limites, não dá pra continuar assim"
we got 2 laps to come in for this penalty,Temos duas voltas pra entrar e cumprir essa penalidade
we got 2 laps left to come in and serve this penalty,Restam duas voltas pra gente entrar e servir a penalidade
we need to come in for this penalty in the next 2 laps,Precisamos entrar nos boxes pra cumprir a penalidade nas próximas duas voltas
come in to serve this penalty in the next 2 laps,Entra nos boxes e cumpre essa penalidade nas próximas duas voltas
we've got 1 lap to serve this drive-through penalty,Temos uma volta pra cumprir essa penalidade de drive-through
we've got 1 lap left to serve this drive-through penalty,Só resta uma volta pra cumprir o drive-through
we got 1 lap to serve this drive-through penalty,Uma volta restante pra cumprir a penalidade de drive-through
1 lap to serve the drive-through penalty,Uma volta pra servir a penalidade de drive-through
we've just had a stop-go penalty for passing under yellow,Acabamos de levar uma stop-go por ultrapassagem sob bandeira amarela
we've just had a stop-go penalty for passing under yellow flag,"Penalidade de stop-go por passar sob bandeira amarela, foi agora"
we've just had a stop-go penalty for overtaking under yellow,Acabamos de ter uma penalidade de parada por ultrapassar em amarelo
we've just had a stop-go penalty for cutting the track,Levamos uma penalidade de stop-go por cortar a pista
we need to come and serve our penalty on this lap,Precisamos entrar agora pra cumprir essa penalidade
we've been disqualified,Fomos desclassificados
"the bastards have just disqualified us, missed that stupid penalty",Ah não fomos desclassificados por não cumprir aquela penalidade absurda
looks like we've been disqualified,"Pelo visto, fomos desclassificados"
we've been disqualified for driving in the dark without headlights,"Fomos desclassificados por dirigir no escuro, sem os faróis ligados"
we've just been disqualified for driving in the dark without headlights,Acabamos de ser desclassificados por pilotar sem faróis no escuro
"we've been driving in the dark without headlights, we've been disqualified",Estávamos rodando no escuro sem faróis e fomos desclassificados
"just been disqualified, you've been driving without headlights","Você foi desclassificado, tava dirigindo sem os faróis ligados"
we've had a drive-through for a false-start,Levamos um drive-through por queima de largada
drive-through penalty for a false-start,Penalidade de drive-through por largada falsa
we've been given a drive-through penalty for a false-start,Recebemos uma penalidade de drive-through por queima de largada
we've had a drive-through penalty for a false-start,Tivemos uma penalidade de drive-through por largada falsa
we've got a drive-through for a false start,Temos um drive-through por queima de largada
we've just had a drive-through for a false-start,Acabamos de levar um drive-through por largada antecipada
we've just had a drive-through for jumping the start,Acabamos de levar um drive-through por pular a largada
you have a penalty,Você recebeu uma penalidade
we've had a drive-through penalty for exceeding the maximum driver stint time,Tivemos uma penalidade de drive-through por ultrapassar o tempo máximo de stint
"you've exceeding the driver stint time, you got a drive-through penalty","Você ultrapassou o tempo permitido de stint, levou um drive-through"
"we've exceeding the maximum driver stint time, you've got a drive-through penalty","Ultrapassamos o tempo máximo de stint, recebemos um drive-through"
"we've had a drive-through penalty, you've exceeded the maximum driver stint time","Levamos um drive-through, você passou do tempo máximo de stint"
you're driving too slowly,Você tá dirigindo devagar demais
"we're going too slowly, speed up","Tamo muito lento, acelera aí"
"you're going too slowly, speed up","Tá devagar demais, pisa um pouco mais"
we've had a warning for driving too slowly,Recebemos um aviso por estar devagar demais
"ah, we're disqualified, mate, we ignored a stop-and-go penalty","Ah não, fomos desclassificados, ignoramos a penalidade de stop-go"
we've been disqualified for ignoring a stop-and-go penalty,Fomos desclassificados por não cumprir a penalidade de stop-go
"you've just been disqualified, you've ignored your stop-and-go penalty","Você foi desclassificado, ignorou a penalidade de stop-go"
"they've just disqualified us, we've ignored a stop-and-go penalty","Acabaram de nos desclassificar, a penalidade de stop-go foi ignorada"
we need to come in for this drive-through at the end of the lap,Precisamos entrar no final desta volta pra cumprir o drive-through
we need to serve this drive-through penalty at the end of this lap,Temos que cumprir essa penalidade de drive-through no final desta volta
we need to serve this drive-through penalty on this lap,Precisamos cumprir o drive-through nesta volta
come in at the end of this lap for your drive-through penalty,Entra no final dessa volta pra servir o drive-through
we've just been handed a stop-go penalty,Acabamos de receber uma penalidade de stop-go
we've just had a stop-go penalty,Recebemos agora há pouco uma penalidade de stop-go
"bollocks, we've had a stop-go","Droga, tomamos uma stop-go"
we've just been given a stop-go penalty,Acabamos de ser penalizados com uma stop-go
"aw, crap, we've just had a stop-go penalty",Poxa acabamos de tomar uma stop-go
"you've exceeded the maximum driver stint time, we got a stop-go penalty","Você passou do tempo máximo de stint, levamos uma penalidade de stop-go"
"we've had a stop-go penalty, we've exceeded the driver stint time maximum",Tomamos uma penalidade de stop-go por ultrapassar o tempo máximo de stint
"you've exceeded the driver stint time, you got a stop-go penalty","Você passou do tempo de stint, levou uma penalidade de stop-go"
we've just had a stop-go penalty for exceeding the maximum driver stint time,Acabamos de levar uma penalidade de stop-go por passar do tempo máximo de stint
"we've used our lap allowance, we need to pit this lap","Já usamos o número máximo de voltas, precisamos entrar nos boxes nesta volta"
enter the pits to avoid exceeding your lap allowance,Entra nos boxes agora pra não ultrapassar o limite de voltas
box this lap to avoid exceeding your lap allowance,Box nessa volta pra evitar ultrapassar o número de voltas permitidas
enter the pits to avoid exceeding the lap allowance,Entra nos boxes pra não passar do limite de voltas
"we've done as many laps as we're allowed, box this lap","Atingimos o número máximo de voltas, entra nessa volta"
"we've used our lap allowance, pit this lap","Já usamos nosso limite de voltas, box agora"
"headlights are required, turn them on, please","Faróis obrigatórios, liga aí, por favor"
headlights are now required,Os faróis agora são obrigatórios
"you need to turn your headlights on, headlights are required now","Liga os faróis, a direção exigiu"
your penalty's completed,Sua penalidade foi cumprida
you served your penalty,Penalidade cumprida com sucesso
you've served your penalty,Você já serviu sua penalidade
"box, box, box, serve this drive-through now","Box, box, box! Cumpre o drive-through agora"
pit now for your drive-through penalty,"Entra nos boxes agora pra cumprir o drive-through, "
box now for your drive-through,Box agora pro drive-through
you still have to serve this drive-through penalty,Você ainda precisa cumprir o drive-through
we still need to serve our drive-through penalty,Ainda temos um drive-through pra cumprir
we've still got to serve this drive-through penalty,Ainda temos que cumprir essa penalidade de drive-through
we still got to serve this drive-through penalty,A penalidade de drive-through ainda precisa ser cumprida
you still need to serve your drive-through penalty,Você ainda precisa cumprir sua penalidade de drive-through
"you've cut again, stop taking the piss","De novo você cortou a pista, pô, para com isso"
"we're still cutting, get on top of it, please","A gente ainda tá cortando pista, fica em cima disso aí, por favor"
stop this persistent cutting,"Chega desse corte insistente, vamos parar com isso"
"come on I'm sick of telling you, watch the bloody track limits","Vamos lá, tô cansado de repetir, presta atenção nesses limites!"
pay more attention to track limits,Precisa prestar mais atenção nos limites da pista
"shit, man, that's another cut, come on, track limits","Ah não, cara mais um corte! Limite de pista, vamos!"
we've had another track limits warning,Recebemos mais um alerta por limite de pista
"come on, stop cutting","Vamos lá, para de cortar a pista"
"track limits, please, we don't want a penalty","Limite de pista, por favor, não queremos penalidade"
"track limits, again","De novo esse limite de pista, hein"
if you don't stop cutting we will get a penalty,"Se continuar cortando, vamos ser penalizados"
"the stewards have warned us again, track limits","Os comissários já alertaram de novo, limite de pista"
you've really gotta pay attention to these track limits,"Tem que prestar atenção nesses limites, sério mesmo"
we've had another warning about track limits,Mais um aviso por limite de pista
"come on, get it together, you keep cutting","Vamos, se concentra, você continua cortando"
start taking these track limits seriously,Começa a levar os limites de pista a sério
"you've cut the track again, concentrate","Você cortou a pista de novo, foca aí!"
please watch the track limits,"Por favor, atenção aos limites da pista"
we've just had a drive-through for overtaking under the pace car,Acabamos de levar um drive-through por ultrapassar o carro de segurança
we've just had a drive-through for passing under the pace car,Drive-through aplicado por passar o pace car
we've just had a drive-through for overtaking under pace car,Tomamos um drive-through por ultrapassagem sob carro de segurança
"step it down a bit, mate, we've had a warning for unsportsmanlike driving","Acalma aí, parceiro, recebemos um aviso por conduta antidesportiva"
we've just had a warning for unsportsmanlike driving,Acabamos de receber um aviso por pilotagem antidesportiva
we've had a warning for unsportsmanlike driving,Já temos um aviso por conduta antidesportiva
"we've just had a warning for unsportsmanlike driving, come on, calm it down","Levamos um aviso por direção antidesportiva, se controla aí"
"stay calm, mate, we've had a warning for unsportsmanlike driving","Segura a onda, parceiro, teve aviso por atitude antidesportiva"
"we've just had a warning for unsportsmanlike driving, come on, keep cool","Acabamos de ser advertidos por conduta antidesportiva, respira e segue no controle"
"we've had a warning for unsportsmanlike driving, come on, get your act together","Levamos um aviso por conduta antidesportiva, vamos acertar o volante aí"
"let this guy through, or we're gonna get penalized",Deixa esse cara passar ou vamos ser penalizados
"blue flag, you've got to let this guy through or they'll give us a penalty","Bandeira azul! Deixa ele passar, senão levamos punição"
"blue flag, move now or we'll be penalized","Bandeira azul, sai da frente agora ou vem penalidade"
"blue flag, move over or we will be penalized","Bandeira azul, dá passagem ou vamos ser punidos"
"blue flag, let him go or we'll get a penalty","Bandeira azul, libera ele aí ou vai dar ruim pra gente"
"let this guy through or we'll be penalized, blue flag","Deixa esse cara passar ou vamos tomar punição, bandeira azul!"
"blue flag, let him go or we'll be penalized","Bandeira azul, solta ele aí ou tamo ferrado"
"aw shit, we've just been given a drive-through","Ah, não… acabamos de tomar um drive-through"
we've just had a drive-through penalty,Acabamos de levar uma penalidade de drive-through
we've just been given a drive-through,Acabamos de receber um drive-through
we've just been handed a drive-through penalty,Recebemos uma penalidade de drive-through agora
"cock, just had a drive-through",Droga drive-through aplicado
"box, box, box, pit now for your penalty","Box, box, box! Entra agora pra cumprir a penalidade"
"pit for your stop-go penalty now, box, box, box","Entra nos boxes agora pra cumprir a stop-go, box, box, box!"
"box, box, box for this stop-go penalty","Box, box, box! Entra agora pra cumprir a penalidade de stop-go"
we're going the wrong way,Estamos indo na direção errada
"that's the wrong way, turn around","Tá na contramão, vira aí!"
you're going the wrong way,Você tá indo pro lado errado
you'll need to slow down a bit if you don't want a penalty,Precisa desacelerar um pouco se não quiser penalidade
you'll need to give back the time gained,Tem que devolver o tempo ganho
we need to slow down and give back some time,Precisamos reduzir a velocidade e devolver parte do tempo
you'll need to slow down if you don't want a penalty,Dá uma segurada aí se não quiser punição
you'll need to slow down to give back the time gained,Tem que diminuir pra devolver o tempo que ganhou
"keep it clean, no more track limits violations or bumps, we'll be disqualified","Mantenha a corrida limpa, sem mais cortes ou batidas, ou vamos ser desclassificados"
"they're about to disqualify us, keep it clean, no more track limits violations or car bumps","A gente tá na mira da desclassificação, sem mais corte ou batida!"
"no more collisions or cut tracks please, they're disqualify us if we do","Nada de colisão ou corte de pista, ou tamo fora!"
"we're about to be disqualified from this race, calm down, keep it clean",A gente tá por um fio! Acalma e mantém limpo
"calm down please, they're disqualify us for one more track limit violation or bump","Acalma, mais um corte ou batida e tamo fora"
"concentrate please, we're on the verge of being disqualified here, keep it clean","Concentra, tamo quase sendo desclassificados, mantém tudo limpo"
"we're on the verge of being disqualified here, keep it clean please","Na beira da desclassificação, mantém limpo, por favor"
"one more track limits violation and you're out, you're about to be disqualified","Mais uma violação e tá fora, desclassificação à vista"
"we're on the verge of being disqualified here, any more cut-tracks and you're out",Qualquer novo corte e tamo desclassificado!
"be careful, you're not racing bangers","Se liga, isso aqui não é racha de demolição"
"come on mate, this ain't banger racing","Vamos lá, parceiro, isso aqui não é briga de parachoque"
"come on, this ain't bumper-cars","Isso aqui não é carrinho de bate-bate, hein!"
"come on, stop driving into people","Pô, para de bater nos outros!"
we've just had a drive-through for ignoring blue flags,Levamos um drive-through por ignorar bandeira azul
we've had a drive-through for ignoring blue flags,Tomamos drive-through por não respeitar a bandeira azul
we've had a drive-through for ignoring the blue flags,Penalidade por ignorar as bandeiras azuis
you've still got a penalty,Você ainda tem uma penalidade pendente
You still have a penalty,"Penalidade ainda ativa, não esquece de cumprir"
"we've just been warned, we've got to enter the pits to serve this penalty","Acabamos de ser avisados, entra nos boxes pra cumprir a penalidade"
"we've just had a warning, we need to enter the pits now to serve our penalty","Recebemos um aviso agora, precisamos entrar já pra cumprir"
"we need to enter the pits now to serve this penalty, we've just had a warning","Precisamos entrar agora pra servir essa penalidade, acabou de chegar o alerta"
"we've just had a warning, we've got to enter the pits to serve our penalty","Tivemos um aviso, entra nos boxes pra cumprir a penalidade"
"we've had a warning, we need to enter the pits now to serve this penalty","A direção alertou, temos que entrar nos boxes agora e cumprir a punição"
"this lap's been invalidated, watch those track limits","Essa volta foi invalidada, atenção aos limites da pista"
"keep it between the white lines, this lap's been invalidated","Mantém entre as linhas brancas, essa volta tá anulada"
"this lap won't count, you're cutting the track","Essa volta não vai contar, você cortou a pista"
"come on, track limits, this lap won't count","Vamos lá, limite de pista! Essa volta tá anulada"
"you've just gone outside of track limits, this lap will be deleted","Você saiu dos limites da pista, essa volta será excluída"
"they'll delete this lap, you cut the track","Essa volta vai ser apagada, você cortou a pista"
"you've cut the track, they'll delete the lap","Cortou a pista, essa volta vai ser anulada"
you've just got out of track limits,Você acabou de sair dos limites da pista
you're outside track limits there,Você passou dos limites da pista ali
looks like that was outside track limits,Parece que você foi além dos limites da pista
we think you might have gone outside of track limits there,Achamos que você pode ter ultrapassado os limites da pista ali
that might be outside track limits,Pode ter passado do limite de pista nesse ponto
you were out of track limits there,Você tava fora dos limites da pista ali
"you cut the track, keep it nice and tidy","Você cortou a pista, mantém essa pilotagem limpa"
stay between the lines,"Fica entre as linhas, sem exagerar"
"we've had a cut warning, keep it tidy","Levamos um aviso de corte, mantém tudo sob controle"
pay attention to track limits,Presta atenção nos limites de pista
"track limits, watch those lines","Limite de pista,  cuida dessas linhas!"
we've just cut the track,A gente acabou de cortar a pista
"we've gone out of track limits, keep it between the white lines","Saímos dos limites, mantém entre as linhas brancas"
"come on, this is bollocks, stop cutting","Vamos lá, isso já virou piada, para de cortar!"
"track limits, what the hell's wrong with you","Limite de pista, o que tá acontecendo aí, hein?"
"lap deleted, this is getting silly",Volta anulada tá ficando absurdo isso
"another lap deleted, pay attention","Outra volta excluída, Presta atenção"
"come on, track limits, you're taking the absolute piss now","Vamos lá, limite de pista! Já tá de sacanagem"
"bloody hell, man, track limits, come on","Pô, cara limite de pista, Se liga aí!"
"track limits, come on, concentrate","Limite de pista, Vamos, concentra"
"come on, you're still cutting, track limits","Vamos lá, Você ainda tá cortando a pista"
stop fucking cutting,"Para com esse corte agora, Chega"
"come on, at least try and keep it on the track",Vamos tenta pelo menos manter na pista
"black flag, we'll need to come into the pits to serve the penalty","Bandeira preta, Precisamos entrar nos boxes pra cumprir a penalidade"
we've just had a stop-go for passing under the safety car,Acabamos de levar uma stop-go por ultrapassar sob carro de segurança
we've just had a stop-go penalty for passing under the safety car,"Stop-go por ultrapassagem sob o safety car, Acabou de sair"
we need to serve this stop-go penalty on this lap,Precisamos cumprir essa penalidade de stop-go nesta volta
come in for your stop-go on this lap,Entra agora pra cumprir a stop-go nesta volta
box for your stop-go penalty on this lap,Box nesta volta pra penalidade de stop-go
come in for your stop-go penalty at the end of this lap,"Final da volta, entra nos boxes pra cumprir a stop-go"
we've just had a stop-go penalty for passing under the pace car,Levamos uma stop-go por ultrapassar o carro de segurança
we've got 1 lap left to serve the stop-go penalty,Falta uma volta pra cumprir a penalidade de stop-go
we've got 1 lap left to serve this stop-go penalty,Só mais uma volta pra servir essa stop-go
we've got 1 lap to serve this stop-go penalty,Temos uma volta pra servir essa penalidade de stop-go
1 lap left to serve this stop-go penalty,Última volta pra cumprir a stop-go
"the light was red when you left the pits, we're gonna get a stop-go penalty","Você saiu dos boxes com o sinal vermelho, Vamos receber uma stop-go"
we've been given a stop-go penalty for exiting the pits under red light,Recebemos uma penalidade de stop-go por sair dos boxes com o sinal vermelho
"the light was red when we exited the pits, we're gonna have a stop-go penalty","Saímos dos boxes com a luz vermelha, Vamos levar uma penalidade de stop-go"
we've had a stop-go penalty for exiting the pits under red lights,Levamos uma penalidade de stop-go por sair dos boxes com sinal vermelho
we've had a stop-go penalty for exiting the pits under red,Penalidade de stop-go por deixar os boxes com o semáforo fechado
we've just had a drive-through for passing under the safety car,Tomamos um drive-through por ultrapassar durante o safety car
we've just had a drive-through penalty for passing under the safety car,Levamos uma penalidade de drive-through por ultrapassagem sob carro de segurança
you're catching the slower cars now,Você tá alcançando os carros mais lentos agora
you're catching up with the slower class cars,Tá chegando nos carros da classe mais lenta
you're catching the slower cars,Já tá pegando os carros mais lentos à frente
you're catching the slower class cars,Alcançando o tráfego mais lento da outra classe
you're catching up with the slower class cars now,Você está alcançando os carros da classe mais lenta agora
TC1,TC1
LMP3 class cars,Carros da classe LMP3
LMP3 cars,Carros LMP3
LMP3 runners,Runners LMP3
Group B,Grupo B
you're catching the,Você está alcançando o
you're coming up on the,Você está chegando no
you're approaching the,Você está se aproximando do
